observation_date,FXRATEIRA618NUPN
1950-01-01,32.25000000
1951-01-01,32.25000000
1952-01-01,32.25000000
1953-01-01,32.25000000
1954-01-01,32.25000000
1955-01-01,32.24574328
1956-01-01,32.25574257
1957-01-01,32.25574257
1958-01-01,52.36308814
1959-01-01,75.75999923
1960-01-01,75.75000000
1961-01-01,75.75000000
1962-01-01,75.75000000
1963-01-01,75.75000000
1964-01-01,75.75000000
1965-01-01,75.75000000
1966-01-01,75.75000000
1967-01-01,75.75000000
1968-01-01,75.75000000
1969-01-01,75.75000000
1970-01-01,75.75000008
1971-01-01,75.75000000
1972-01-01,75.74997014
1973-01-01,68.89031595
1974-01-01,67.65843826
1975-01-01,67.67204499
1976-01-01,70.25682244
1977-01-01,70.65158421
1978-01-01,70.50984749
1979-01-01,70.50984749
1980-01-01,70.64969994
1981-01-01,78.36664716
1982-01-01,83.64380524
1983-01-01,86.40056770
1984-01-01,90.07419995
1985-01-01,207.30000000
1986-01-01,217.50000000
1987-01-01,221.60000000
1988-01-01,237.10000000
1989-01-01,299.10000000
1990-01-01,394.20000000
1991-01-01,511.70000000
1992-01-01,655.10000000
1993-01-01,890.08300000
1994-01-01,1221.70000000
1995-01-01,1725.80000000
1996-01-01,2194.00000000
1997-01-01,2779.50000000
1998-01-01,3206.00000000
1999-01-01,4172.00000000
2000-01-01,5731.00000000
2001-01-01,6163.40000000
2002-01-01,6907.10832700
2003-01-01,8193.88751900
2004-01-01,8613.98942100
2005-01-01,8963.95890700
2006-01-01,9170.94287800
2007-01-01,9281.15182800
2008-01-01,9428.52826100
2009-01-01,9864.30245600
2010-01-01,10254.17647000
